Strain	Genome size (bp)	GC%	Protein	Bloom Incidence	Shape	Habitat	Blooming category					
Anabaena cylindrica PCC 7122	7063285	38.8	5775	64	IV	freshwater	bloomer					
Anabaena sp. 90	5305675	38.1	5377	64	IV	freshwater	bloomer					
Anabaena sp. PCC 7108	5885741	38.8	5562	64	IV	marine	bloomer					
Anabaena variabilis ATCC 29413	7105752	41.4	6436	64	IV	freshwater	bloomer					
Aphanizomenon flos-aquae 2012/KM/D3	5741771	38.22	6698	46	IV	freshwater	bloomer					
Aphanizomenon flos-aquae NIES-81	5653112	38.5	5803	46	IV	freshwater	bloomer					
Arthrospira platensis C1	6501890	44.3	5590	1	III	alkaline	bloomer					
Calothrix sp. PCC 6303	6960392	39.8	6332	0	IV	freshwater	nonbloomer					
Calothrix sp. PCC 7103	11576073	40.4287	11079	0	IV	freshwater	nonbloomer					
Calothrix sp. PCC 7507	7023215	43.2	6927	0	IV	freshwater	nonbloomer					
Chamaesiphon minutus PCC 6605	6761765	45.7	7368	0	I	freshwater	nonbloomer					
Crocosphaera watsonii WH 0003	5636011	37.7	5611	0	I	marine	nonbloomer					
Crocosphaera watsonii WH 0005	5961120	37.7	4681	0	I	marine	nonbloomer					
Crocosphaera watsonii WH 0401	4549720	37.7	3645	0	I	marine	nonbloomer					
Crocosphaera watsonii WH 0402	5880360	37.7	4374	0	I	marine	nonbloomer					
Crocosphaera watsonii WH 8501	6235767	37.1	7191	0	I	marine	nonbloomer					
Crocosphaera watsonii WH 8502	4683050	37.6	3846	0	I	marine	nonbloomer					
Cyanothece sp. ATCC 51142	5460377	37.9	5159	3	I	marine	bloomer					
Cyanothece sp. ATCC 51472	5422118	39.8	5216	3	I	marine	bloomer					
Cyanothece sp. PCC 7425	5786110	50.6	5440	3	I	freshwater	bloomer					
Cyanothece sp. PCC 7822	7841948	40.1	7382	3	I	freshwater	bloomer					
Cyanothece sp. PCC 8801	4787694	39.8	4651	3	I	freshwater	bloomer					
Cyanothece sp. PCC 8802	4803347	39.8	4694	3	I	freshwater	bloomer					
Cylindrospermopsis raciborskii CS-505	3874760	40.2	3778	18	IV	freshwater	bloomer					
Cylindrospermopsis raciborskii UNSW 506	4183058	42	6445	19	IV	freshwater	bloomer					
Dactylococcopsis salina PCC 8305	3781008	42.4	4168	0	I	freshwater	nonbloomer					
Dolichospermum circinale AWQC310F	4353830	37.5	4321	0	IV	freshwater	nonbloomer					
Geminocystis herdmanii PCC 6308	8525836	34.3	8600	0	I	freshwater	nonbloomer					
Halothece sp. PCC 7418	4179170	42.9	4076	0	I	freshwater	nonbloomer					
Leptolyngbya boryana PCC 6306	7258203	47	7442	1	III	freshwater	bloomer					
Leptolyngbya sp. 2LT21S03	7799549	51.42	8707	2	III	marine	bloomer					
Leptolyngbya sp. PCC 6406	5599228	43.9	5350	1	III	freshwater	bloomer					
Lyngbya majuscula 3L	8478610	43.7	6085	19	III	marine	bloomer					
Lyngbya sp. PCC 8106	7034255	41.1	6145	19	III	marine	bloomer					
Microcystis aeruginosa DIANCHI905	4848529	42.6	5174	403	I	freshwater	bloomer					
Microcystis aeruginosa NIES-843	5842795	42.3	5777	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 7941	4730883	43	4973	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9432	4910942	43	5191	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9443	5037073	43	5447	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9701	4648194	43	4955	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9717	5141379	43	5737	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9806	4204704	43	4538	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9807	5018451	43	5456	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9808	4963053	43	5306	403	I	freshwater	bloomer					
Microcystis aeruginosa PCC 9809	4853395	43	5356	403	I	freshwater	bloomer					
Microcystis aeruginosa TAIHU98	4849611	42	5313	403	I	freshwater	bloomer					
Microcystis sp. T1-4	4632290	43	5003	403	I	freshwater	bloomer					
Myxosarcina sp. GI1	7069860	40.1	6871	0	II	marine	nonbloomer					
Nodularia spumigena CCY9414	5303125	41.3	5014	4	IV	marine	bloomer					
Nostoc sp. PCC 7107	6329823	40	5928	4	IV	freshwater	bloomer					
Nostoc sp. PCC 7120	7211789	41.3	6694	4	IV	freshwater	bloomer					
Nostoc sp. PCC 7524	6718869	41.2	5451	4	IV	freshwater	bloomer					
Oscillatoria formosa PCC 6407	6878396	43.4	6736	15	III	freshwater	bloomer					
Oscillatoria nigro-viridis PCC 7112	7964445	46	8289	15	III	freshwater	bloomer					
Planktothrix agardhii NIVA-CYA 126/8	5496840	39.5	4489	41	III	freshwater	bloomer					
Planktothrix agardhii NIVA-CYA 15	5343784	39.5	5020	40	III	freshwater	bloomer					
Planktothrix agardhii NIVA-CYA 34	5496556	39.5	5131	40	III	freshwater	bloomer					
Planktothrix agardhii NIVA-CYA 56/3	5459774	39.5	5162	40	III	freshwater	bloomer					
Planktothrix mougeotii NIVA-CYA 405	5448063	39.5	5174	40	III	freshwater	bloomer					
Planktothrix prolifica NIVA-CYA 406	5572070	39.5	5361	40	III	freshwater	bloomer					
Planktothrix prolifica NIVA-CYA 540	5500408	39.5	5181	40	III	freshwater	bloomer					
Planktothrix rubescens NIVA-CYA 407	5365330	39.5	5094	40	III	freshwater	bloomer					
Planktothrix rubescens NIVA-CYA 98	5561013	39.5	5285	40	III	freshwater	bloomer					
Pleurocapsa sp. PCC 7319	7384997	38.7	6991	0	II	freshwater	nonbloomer					
Prochlorococcus marinus bv. HNLC1	1657550	31.21	1961	0	I	marine	nonbloomer					
Prochlorococcus marinus str. EQPAC1	1654739	30.79	1958	0	I	marine	nonbloomer					
Prochlorococcus marinus str. GP2	1624310	31.16	1880	0	I	marine	nonbloomer					
Prochlorococcus marinus str. LG	1754063	36.43	1983	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9107	1699937	31.02	1994	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9116	1685398	31.01	1984	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9123	1697748	31.02	1999	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9201	1672416	31.28	1986	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9215	1738790	31.1	2047	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9302	1745343	31.12	2016	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9311	1711064	31.21	1979	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9313	2410873	50.7	2873	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9314	1690556	31.18	1979	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9321	1658664	31.2	1962	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9322	1657550	31.21	1961	0	I	marine	nonbloomer					
Prochlorococcus marinus str. MIT 9401	1666808	31.21	1969	0	I	marine	nonbloomer					
Prochlorococcus marinus str. PAC1	1841163	35.09	2254	0	I	marine	nonbloomer					
Prochlorococcus marinus str. SB	1669823	31.5	1935	0	I	marine	nonbloomer					
Prochlorococcus marinus str. SS2	1752772	36.44	1987	0	I	marine	nonbloomer					
Prochlorococcus marinus str. SS35	1751015	36.44	1988	0	I	marine	nonbloomer					
Prochlorococcus marinus str. SS51	1746977	36.43	1976	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0601	1707342	37.02	1935	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0602	1750918	36.34	1997	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0603	1752482	36.35	2004	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0604	1780061	31.17	2092	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0701	2592571	50.6	3082	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0702	2583057	50.6	3084	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0703	2575057	50.61	3078	0	I	marine	nonbloomer					
Prochlorococcus sp. MIT 0801	1929203	34.91	2278	0	I	marine	nonbloomer					
Prochlorococcus sp. SS52	1754053	36.44	1987	0	I	marine	nonbloomer					
Prochlorothrix hollandica PCC 9006	5607708	54.4	5510	0	III	freshwater	nonbloomer					
Raphidiopsis brookii D9	3186511	40.1	3234	1	III	freshwater	bloomer					
Rivularia sp. PCC 7116	8728773	38	7389	0	IV	marine	nonbloomer					
Rubidibacter lacunae KORDI 51-2	4141624	56.2	4254	0	I	freshwater	nonbloomer					
Spirulina major PCC 6313	5050153	53	4408	0	III	freshwater	nonbloomer					
Spirulina subsalsa PCC 9445	5322800	47	5180	0	III	freshwater	nonbloomer					
Stanieria cyanosphaera PCC 7437	5544990	36	5163	9	I	freshwater	bloomer					
Synechococcus elongatus PCC 7942	2742269	55.4	2915	9	I	marine	bloomer					
Synechococcus sp. CC9616	2644310	56.5	2964	9	I	marine	bloomer					
Synechococcus sp. CC9902	2234828	54.2	2561	9	I	marine	bloomer					
Synechococcus sp. KORDI-100	2789000	57.5	3121	9	I	marine	bloomer					
Synechococcus sp. KORDI-49	2585810	61.4	2660	9	I	marine	bloomer					
Synechococcus sp. KORDI-52	2572070	59.1	2921	9	I	marine	bloomer					
Synechococcus sp. WH 8016	2691372	54	3174	9	I	marine	bloomer					
Synechococcus sp. WH 8102	2434428	59.4	2690	9	I	marine	bloomer					
Synechocystis sp. PCC 6803	3947019	47.4	3917	0	I	freshwater	nonbloomer					
Trichodesmium erythraeum 21-75	7043792	33.9	5878	16	III	marine	bloomer					
Trichodesmium erythraeum IMS101	7750108	34.1	6500	16	III	marine	bloomer					
Xenococcus sp. PCC 7305	5914268	40	5510	0	I	marine	nonbloomer					
F: frequent; O: occasional; N: non-blooming.												
